city,year,IAH,precio_m2,ratio_cuota_salario,tasa_desempleo,cluster,PC1,PC2
Armenia,2020,10.44113808405116,1395348.8372093022,0.9155655538635524,16.229757142857142,1,-2.8457477109356177,0.5235827082316689
Armenia,2021,10.806000508517672,1395000.0,0.918583968270392,15.178109397,1,-2.7157238640815553,0.19388932619364987
Barranquilla,2020,21.53484729835552,2906976.7441860465,1.8883539548435768,16.229757142857142,1,-0.25649017068630836,1.3191776639168002
Barranquilla,2021,21.612001017035343,3250000.0,1.837167936540784,15.178109397,1,-0.020859598932955734,0.9913940495617771
Bogotá,2020,29.365700861393893,4250000.0,2.575028120241241,16.229757142857142,0,1.7131602212443369,1.8937895719854452
Bogotá,2021,31.78235443681668,4900000.0,2.701717553736447,15.178109397,0,2.4661721230162956,1.7374650242797398
Bogotá,2022,27.976190476190474,5148148.148148148,3.2677307368057686,11.363516830666669,3,3.060475260417487,0.06233223581306589
Bogotá,2023,20.3125,4463325.652841782,2.913211635689265,10.37263106665512,3,1.808708003008789,-0.8569624447125929
Bogotá,2024,25.78703703703704,5234899.32885906,3.084325731239032,10.123770277507882,3,2.866172305104101,-0.49986822420262905
Bucaramanga,2020,15.987992691203342,2500000.0,1.401959754353565,16.229757142857142,1,-1.3717162508608325,0.9378309644344862
Bucaramanga,2021,16.526824307144672,2674418.604651163,1.4048931279429524,15.178109397,1,-1.136102536593239,0.6301208687303754
Bucaramanga,2022,17.857142857142858,2935779.8165137614,2.085785576684533,11.363516830666669,2,0.026027779257188133,-0.6569051661409947
Bucaramanga,2023,18.463541666666668,3464669.7906345935,2.648034679107293,10.37263106665512,2,0.9077997450300644,-1.0087689869486096
Bucaramanga,2024,17.36111111111111,3676470.588235294,2.076520914209402,10.123770277507882,2,0.46582315520565787,-1.0817108613074782
Cali,2020,19.57713390759593,2475000.0,1.716685413494161,16.229757142857142,1,-0.79838801064688,1.1709870138686032
Cali,2021,20.97635392829901,2830813.9534883723,1.7831335854660548,15.178109397,1,-0.3388453937616833,0.9298595229984182
Cali,2022,17.261904761904763,2830882.3529411764,2.016259390795049,11.363516830666669,2,-0.1394875581093486,-0.6980228707777584
Cali,2023,20.78125,3198837.2093023257,2.9804395965128636,10.37263106665512,2,1.2565888646538124,-0.8900478673009257
Cali,2024,18.98148148148148,3653846.153846154,2.2703295328689466,10.123770277507882,2,0.7616623789016427,-0.9850184094814511
Cartagena,2020,28.060558600887497,4418604.651162791,2.460582426008297,16.229757142857142,0,1.586713182116459,1.8165280462959539
Cartagena,2021,34.007119247393845,5697674.418604652,2.890837782497998,15.178109397,0,3.2348187424542165,1.9212640817817799
Cúcuta,2020,14.682850430696949,1627906.976744186,1.2875140601206208,16.229757142857142,1,-2.0333813150065985,0.8114912833035782
Cúcuta,2021,15.89117721840834,1750000.0,1.3508587768682234,15.178109397,1,-1.7139232273664047,0.5447601315085856
